year,mean,unc
1980,338.91,0.10
1981,340.11,0.10
1982,340.86,0.10
1983,342.53,0.10
1984,344.07,0.10
1985,345.54,0.10
1986,346.97,0.10
1987,348.68,0.10
1988,351.16,0.10
1989,352.78,0.10
1990,354.05,0.10
1991,355.39,0.10
1992,356.09,0.10
1993,356.83,0.10
1994,358.33,0.10
1995,360.17,0.10
1996,361.93,0.10
1997,363.05,0.10
1998,365.70,0.10
1999,367.80,0.10
2000,368.96,0.10
2001,370.57,0.10
2002,372.59,0.10
2003,375.15,0.10
2004,376.95,0.10
2005,378.98,0.10
2006,381.15,0.10
2007,382.90,0.10
2008,385.02,0.10
2009,386.50,0.10
2010,388.76,0.10
2011,390.63,0.10
2012,392.65,0.10
2013,395.40,0.10
2014,397.34,0.10
2015,399.65,0.10
2016,403.06,0.10
2017,405.22,0.10
2018,407.62,0.10
2019,410.07,0.10
2020,412.44,0.10
2021,414.73,0.10